ObjectID,FacilityID,FacilityRank,Name,IncidentCurbApproach,FacilityCurbApproach,IncidentID,Total_Length
521,44,49,Location 44 - Location 9,2,1,9,173362.329572313756216
522,45,50,Location 45 - Location 9,2,1,9,173362.329572313756216
523,58,51,Location 58 - Location 9,2,1,9,181791.628165728878230
524,59,52,Location 59 - Location 9,2,1,9,181791.628165728878230
525,60,53,Location 60 - Location 9,2,1,9,181791.628165728878230
526,19,54,Location 19 - Location 9,2,2,9,181873.460688531195046
527,15,55,Location 15 - Location 9,2,2,9,184905.136599522957113
528,16,56,Location 16 - Location 9,2,2,9,184919.704327036772156
529,14,57,Location 14 - Location 9,2,2,9,184950.128469455317827
530,55,58,Location 55 - Location 9,2,2,9,186935.609456217614934
531,56,59,Location 56 - Location 9,2,1,9,199873.568037786026252
532,9,1,Location 9 - Location 10,1,1,10,0.000000000000000
533,10,2,Location 10 - Location 10,1,1,10,0.000000000000000
534,11,3,Location 11 - Location 10,2,1,10,5.698992784665932
535,13,4,Location 13 - Location 10,2,1,10,7329.622731228481825
536,12,5,Location 12 - Location 10,2,1,10,7344.193151711743667
537,25,6,Location 25 - Location 10,2,2,10,52654.847098061472934
538,23,7,Location 23 - Location 10,2,1,10,52689.993318678229116
539,24,8,Location 24 - Location 10,2,1,10,52689.993318678229116
540,26,9,Location 26 - Location 10,2,1,10,52738.827839157864219
541,20,10,Location 20 - Location 10,2,2,10,53872.262919960572617
542,1,11,Location 1 - Location 10,2,2,10,59371.275709852496220
543,17,12,Location 17 - Location 10,2,2,10,66330.538180197429028
544,18,13,Location 18 - Location 10,2,2,10,66330.538180197429028
545,21,14,Location 21 - Location 10,2,2,10,66432.364646887508570
546,22,15,Location 22 - Location 10,2,2,10,66432.364646887508570
547,43,16,Location 43 - Location 10,2,1,10,80011.380413878738182
548,7,17,Location 7 - Location 10,2,2,10,82315.573378011147724
549,8,18,Location 8 - Location 10,2,2,10,82391.561947147449246
550,57,19,Location 57 - Location 10,2,2,10,83126.489373334421543
551,41,20,Location 41 - Location 10,2,1,10,124927.558853558381088
552,39,21,Location 39 - Location 10,2,1,10,124973.629375925534987
553,40,22,Location 40 - Location 10,2,1,10,124973.629375925534987
554,42,23,Location 42 - Location 10,2,1,10,125636.255841792706633
555,31,24,Location 31 - Location 10,2,1,10,129546.214172637148295
556,32,25,Location 32 - Location 10,2,1,10,129547.082167310931254
557,46,26,Location 46 - Location 10,2,1,10,139137.521827764867339
558,47,27,Location 47 - Location 10,2,1,10,139137.521827764867339
559,48,28,Location 48 - Location 10,2,1,10,139137.521827764867339
560,30,29,Location 30 - Location 10,2,2,10,140189.127507565717679
561,62,30,Location 62 - Location 10,2,1,10,148479.848076980095357
562,27,31,Location 27 - Location 10,2,1,10,151038.838380846427754
563,33,32,Location 33 - Location 10,2,1,10,152219.842847868567333
564,37,33,Location 37 - Location 10,2,1,10,154044.129731188615551
565,34,34,Location 34 - Location 10,2,1,10,154173.092430708900793
566,35,35,Location 35 - Location 10,2,1,10,154173.092430708900793
567,36,36,Location 36 - Location 10,2,1,10,154173.092430708900793
568,28,37,Location 28 - Location 10,2,1,10,154446.108316742669558
569,29,38,Location 29 - Location 10,2,1,10,154446.108316742669558
570,53,39,Location 53 - Location 10,2,1,10,158326.925571473373566
571,52,40,Location 52 - Location 10,2,2,10,158328.527913614845602
572,54,41,Location 54 - Location 10,2,1,10,158334.857145045010839
573,2,42,Location 2 - Location 10,2,1,10,158547.417759078351082
574,3,43,Location 3 - Location 10,2,1,10,158568.904961274092784
